"bus-cycles","branch-instructions","cache-references","node-loads","branch-misses","node-stores","cache-misses","instructions","L1-icache-load-misses","branch-loads","LLC-load-misses","L1-dcache-loads","LLC-loads","L1-dcache-stores","L1-dcache-load-misses","iTLB-load-misses","class"
"22792","97194","15909","1576","4528","115","3349","503633","6953","96654","1611","149542","5100","90974","12340","365","virus"
"32118","133353","27981","3493","8423","633","5434","692301","10201","154636","2559","206800","7459","144644","14870","287","virus"
"31124","134438","26340","3418","8205","558","5359","698469","10622","155224","2730","203248","7479","144525","14597","454","virus"
"38806","169802","19392","2340","6564","300","5638","1012432","11448","182036","3080","323977","7685","173789","15299","267","virus"
"36956","159425","18700","2155","6310","265","5074","980413","10320","160223","2421","298087","6485","158484","13503","224","virus"
"247380","1229999","131562","8942","20561","4482","16234","6342786","21366","619397","7688","1054351","28895","810370","128069","751","virus"
"901854","6916756","173650","42607","111261","21541","69245","36000000","189645","8666988","53384","10000000","92493","8289533","332097","26724","virus"
"960358","7671110","179831","40778","106706","23209","67832","40000000","176490","8409186","47887","13000000","87418","8289346","422054","25966","virus"
"971343","7796175","181929","40319","100184","23671","67029","41000000","171845","8266559","46216","13000000","84295","8280844","424465","25999","virus"
"978709","7861682","181854","40010","97251","23919","66499","41000000","170000","8184424","45575","13000000","83443","8247094","424101","25891","virus"
"983653","7946564","179184","40170","95314","23983","66465","41000000","168519","8151978","45074","13000000","82787","8224593","424108","25776","virus"
"986564","7957284","178083","40569","94706","24450","67085","42000000","166418","7993322","45473","12000000","82374","8132556","418384","25641","virus"
"989360","7982702","177765","40108","96682","24598","66766","42000000","169003","7953585","45414","12000000","81501","8140824","416418","25908","virus"
"988217","8070318","178529","40367","99453","24678","67100","42000000","165736","8018770","45878","12000000","81567","8163108","409459","25445","virus"
"989430","8309825","174820","42386","98479","24728","69091","44000000","150724","7254600","41622","11000000","73891","7375846","370394","22961","virus"
"987178","8450567","173222","43056","100874","24481","69464","44000000","125931","6013042","34684","9229796","61622","6108254","307342","19038","virus"
"990619","8600034","172938","43764","102632","24305","69905","45000000","77702","3737501","21662","5732499","38256","3789009","190017","11760","virus"
"991637","8757305","171487","43496","103940","24170","69479","46000000","74034","3545319","20591","5437686","36440","3594023","180436","11163","virus"
"994829","8968723","169590","43212","105419","24157","69157","47000000","60184","3074703","17910","4654680","30648","3021498","148824","9036","virus"
